@RELATION "Wines dataset"

@ATTRIBUTE name STRING
@ATTRIBUTE price NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE region STRING
@ATTRIBUTE sweetness {dry, semi-dry, semi-sweet, sweet}
@ATTRIBUTE grape STRING
@ATTRIBUTE manufacturer STRING
@ATTRIBUTE strength NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
'Vino Saint-Aubin Premier Cru Murgers des Dents de Chien Monopole, Armand Heitz, 2019',17490,0.0,Frantsija,Burgundija,dry,'pino nuar 100\%','Armand Heitz',13.5,0.75
'Vino Petit-Figeac, Chateau Figeac, 2020',18490,0.0,Frantsija,Bordo,dry,merlo,'Chateau Figeac',13.5,0.75
'Vino Lugana San Benedetto, Zenato, 2022',3240,4.7,Italija,Veneto,semi-dry,'trebb\'jano di lugana 100\%',Zenato,13.5,0.75
'Vino Sancerre Blanc La Bourgeoise, Henri Bourgeois, 2022',8990,4.3,Frantsija,'Dolina Luary',dry,'sovin\'on blan 100\%','Henri Bourgeois',13.5,0.75
'Vino Sobaja Sauvignon, Pradio, 2022',2490,4.7,Italija,Friuli-Venetsija-Dzhulija,dry,'sovin\'on blan 100\%',Pradio,13.0,0.75
'Vino Fleurs de Mai, Domaine Georges Vernay, 2019',8490,0.0,Frantsija,'Dolina Rony',dry,'sira 100\%','Domaine Georges Vernay',13.5,0.75
'Vino Salice Salentino Feudo Monaci, Castello Monaci, 2021',1990,4.1,Italija,Apulija,dry,'mal\'vazija nera','Castello Monaci',13.0,0.75
'Vino Saint-Romain Rouge, Domaine Alain Gras, 2022, 0.375 l',6990,5.0,Frantsija,Burgundija,dry,'pino nuar 100\%','Domaine Alain Gras',12.5,0.375
'Vino Locantita. Sovin\'on Blan - Shardone, Skalistyj Bereg, 2023',690,5.0,Rossija,Krym,dry,'pino nuar','Skalistyj Bereg',11.8,0.75
'Vino Le Dos d\'Chat G.G., Fabrice Dodane & Domaine de Saint-Pierre, 2020, 1.5 l',16490,0.0,Frantsija,Zhjura,dry,'game 100\%','Fabrice Dodane & Domaine de Saint-Pierre',12.2,1.5
'Vino Sgarzon v podarochnoj upakovke, Foradori, 2021, 1.5 l',18490,0.0,Italija,'Trentino-Al\'to Adidzhe',dry,'terol\'dego 100\%',Foradori,12.5,1.5
'Vino Cuvee Terlaner, Cantina Terlan, 2020',5490,4.6,Italija,'Trentino-Al\'to Adidzhe',dry,'sovin\'on blan 10\%','Cantina Terlan',13.5,0.75
'Vino Les Sarrins, Chateau des Sarrins, 2022',3790,4.7,Frantsija,Provans,dry,sira,'Chateau des Sarrins',13.0,0.75
'Vino Sassicaia, Tenuta San Guido, 2019',99990,5.0,Italija,Toskana,dry,'kaberne fran 15\%','Tenuta San Guido',14.0,0.75
'Vino Kaberne Sovin\'on, Sikory, 2021',1490,4.6,Rossija,'Kuban\'',dry,'kaberne sovin\'on 100\%',Sikory,14.0,0.75
'Vino Bourgogne Aligote, Jean-Marc Brocard (Domaine Sainte-Claire), 2021',3490,4.2,Frantsija,Burgundija,dry,'aligote 100\%','Jean-Marc Brocard (Domaine Sainte-Claire)',12.5,0.75
'Vino Nuits-Saint-Georges Premier Cru Clos Les Pruliers, Domaine Henri Gouges, 2020',?,4.0,Frantsija,Burgundija,dry,'pino nuar 100\%','Domaine Henri Gouges',14.5,0.75
